topic,difficulty,question,option_a,option_b,option_c,correct_answer,explanation
Agentic AI,5,What is capability amplification in agentic AI?,Increasing the model's parameter count,Adding more GPUs to the system,Expanding the training dataset,Using tools and external resources to extend the agent's effective capabilities beyond its base model,Capability amplification allows agents to perform tasks beyond their intrinsic knowledge by leveraging search code execution and other tools.
Agentic AI,2,What is an agentic workflow?,A single-turn question answering system,A batch data processing pipeline,A model training procedure,A structured sequence of agent actions designed to complete a complex task,Agentic workflows define the steps tools and decision points that guide an agent through a multi-stage task from start to finish.
Agentic AI,3,What is the difference between agentic AI and traditional AI?,Traditional AI is always better,Agentic AI uses less compute,Traditional AI is more autonomous,Agentic AI autonomously takes sequences of actions while traditional AI typically responds to single inputs,Traditional AI systems respond to individual queries while agentic AI systems pursue goals through extended sequences of reasoning and action.
Agentic AI,1,What is autonomy in the context of agentic AI?,The model's ability to train itself,The agent's hardware independence,The agent's ability to run without internet,The degree to which an agent can operate and make decisions without human intervention,Higher autonomy means the agent can handle more complex tasks independently but also requires stronger safety and alignment guarantees.
Agentic AI,5,What is goal misgeneralization in agentic AI?,When the agent forgets its goal,When the agent runs out of memory,When the agent's tools fail,When an agent pursues a proxy goal that diverges from the intended goal in new situations,Goal misgeneralization is a safety risk where an agent learns to optimize a proxy objective that correlates with the true goal during training but diverges at deployment.
Multi-Agent Systems,1,What is a multi-agent system?,A single model with multiple heads,A model trained on multiple datasets,A system with multiple GPUs,A system where multiple AI agents interact to solve problems,Multi-agent systems leverage the collective capabilities of multiple specialized agents that communicate and collaborate to achieve complex goals.
Multi-Agent Systems,1,What is agent communication in multi-agent systems?,Agents sharing GPU memory,Agents sharing model weights,Agents sharing training data,The exchange of messages or information between agents to coordinate actions,Agent communication enables coordination by allowing agents to share observations plans results and requests with each other.
Multi-Agent Systems,2,What is a supervisor agent in multi-agent systems?,An agent that monitors GPU usage,An agent that trains other agents,An agent that evaluates model quality,An agent that coordinates and delegates tasks to other specialized agents,The supervisor agent acts as an orchestrator breaking down goals and assigning sub-tasks to appropriate worker agents.
Multi-Agent Systems,2,What is agent specialization in multi-agent systems?,Training agents on different hardware,Using different model sizes,Assigning different random seeds,Designing agents with distinct capabilities or knowledge for specific sub-tasks,Specialization improves overall system performance by having each agent focus on what it does best rather than requiring one agent to handle everything.
Multi-Agent Systems,3,What is the consensus problem in multi-agent systems?,Getting agents to use the same model,Getting agents to share the same GPU,Getting agents to use the same tokenizer,The challenge of getting multiple agents to agree on a shared decision or state,Consensus mechanisms ensure that distributed agents reach agreement on facts decisions or plans despite potentially conflicting information.
Multi-Agent Systems,3,What is a shared memory architecture in multi-agent systems?,All agents using the same GPU,All agents sharing model weights,All agents using the same tokenizer,A design where multiple agents read from and write to a common memory store,Shared memory allows agents to coordinate by accessing a common state store enabling information sharing without direct message passing.
Multi-Agent Systems,3,What is task decomposition in multi-agent systems?,Splitting the model into sub-models,Dividing the training data,Reducing the action space,Breaking a complex task into sub-tasks assigned to different agents,Task decomposition enables parallel execution of sub-tasks by specialized agents improving efficiency and scalability.
Multi-Agent Systems,4,What is emergent behavior in multi-agent systems?,Behavior caused by hardware failures,Behavior from training data artifacts,Behavior from a single dominant agent,Complex collective behavior arising from simple interactions between individual agents,Emergent behavior occurs when the interactions of multiple simple agents produce sophisticated system-level capabilities not present in any individual agent.
Multi-Agent Systems,4,What is a debate framework in multi-agent systems?,Agents competing for GPU resources,Agents arguing about training data,Agents voting on model architecture,Multiple agents arguing different positions to help identify the most accurate answer,Debate frameworks use adversarial agents to challenge each other's reasoning helping surface errors and improve the reliability of conclusions.
Multi-Agent Systems,4,What is the role of a critic agent?,To generate the final output,To retrieve relevant documents,To manage tool calls,To evaluate and provide feedback on other agents' outputs,Critic agents improve system quality by reviewing outputs identifying flaws and suggesting improvements before the final response is delivered.
Multi-Agent Systems,5,What is the Byzantine fault tolerance problem in multi-agent systems?,A hardware failure mode,A training instability issue,A tokenization error,The challenge of reaching consensus when some agents may be faulty or malicious,Byzantine fault tolerance ensures the system reaches correct decisions even when a subset of agents provide incorrect or adversarial information.
Multi-Agent Systems,5,What is a blackboard architecture in multi-agent systems?,A visualization tool for agents,A shared GPU memory pool,A centralized training server,A shared data structure that agents read from and write to for coordination,The blackboard architecture provides a common workspace where agents post partial solutions and observations enabling asynchronous collaboration.
Multi-Agent Systems,2,What is a worker agent in multi-agent systems?,An agent that trains the model,An agent that monitors system health,An agent that manages memory,A specialized agent that executes specific sub-tasks assigned by a supervisor,Worker agents focus on executing well-defined sub-tasks and reporting results back to the orchestrating supervisor agent.
Multi-Agent Systems,3,What is message passing in multi-agent systems?,Passing gradients between models,Sharing model weights between agents,Transferring training data between nodes,The mechanism by which agents send structured information to each other,Message passing is the primary communication mechanism in multi-agent systems enabling agents to share observations requests and results.
Multi-Agent Systems,5,What is coalition formation in multi-agent systems?,Merging model weights,Combining training datasets,Sharing GPU resources,The process of agents dynamically grouping together to tackle tasks that require collaboration,Coalition formation allows agents to self-organize into teams based on task requirements and individual capabilities improving overall system flexibility.
Tool Use,1,What is tool use in AI agents?,The agent using hardware tools,The agent modifying its own weights,The agent reading training data,The ability of an AI agent to call external functions or APIs to perform actions,Tool use extends an agent's capabilities beyond text generation by allowing it to interact with external systems like search engines databases and code interpreters.
Tool Use,1,What is a function call in the context of LLM tool use?,A recursive function in the model,A training step,A gradient update,A structured request from the model to execute a specific external function,Function calling allows LLMs to output structured JSON specifying a tool name and arguments which the runtime then executes.
Tool Use,2,What is a tool schema?,A database schema for tools,A hardware specification,A training data format,A structured definition of a tool's name description and parameters,Tool schemas tell the model what tools are available what they do and what arguments they require enabling the model to use them correctly.
Tool Use,2,What is the purpose of tool output in an agent loop?,To update model weights,To generate the final response directly,To train the retriever,To provide the agent with results it can use in subsequent reasoning steps,Tool outputs are fed back into the agent's context allowing it to incorporate real-world information into its ongoing reasoning.
Tool Use,3,What is parallel tool calling?,Calling tools on multiple machines,Calling the same tool multiple times,Calling tools during training,Executing multiple tool calls simultaneously to improve efficiency,Parallel tool calling allows agents to request multiple tool executions at once reducing latency when several independent actions are needed.
Tool Use,3,What is tool chaining?,Connecting tools with cables,Linking tools to training data,Merging tool schemas,Using the output of one tool as the input to another in a sequence,Tool chaining enables complex workflows where the result of one action informs the next creating pipelines of tool calls to accomplish multi-step tasks.
Tool Use,4,What is a code interpreter tool?,A tool that interprets natural language,A tool that translates between languages,A tool that compresses code,A tool that executes code and returns the output to the agent,Code interpreter tools allow agents to write and run programs enabling them to perform calculations data analysis and complex transformations.
Tool Use,4,What is tool selection strategy in agents?,Choosing the best hardware,Selecting training data,Picking the model size,The method by which an agent decides which tool to use for a given sub-task,Effective tool selection requires the agent to understand each tool's purpose and match it to the current need often guided by tool descriptions in the schema.
Tool Use,5,What is tool hallucination in AI agents?,When the agent generates too many tool calls,When the tool returns an error,When the tool runs too slowly,When the agent invents tool calls for tools that do not exist,Tool hallucination occurs when the model generates calls to non-existent tools or uses incorrect argument names requiring robust validation in the agent runtime.
Tool Use,3,What is a retrieval tool in AI agents?,A tool that trains the retriever,A tool that compresses documents,A tool that generates embeddings,A tool that searches a knowledge base and returns relevant documents,Retrieval tools enable agents to access external knowledge by querying vector databases or search engines and returning relevant content.
Tool Use,5,What is tool result caching in agent systems?,Caching model weights,Caching training data,Caching tool schemas,Storing tool outputs so identical calls can be served without re-execution,Tool result caching improves efficiency and reduces API costs by reusing previously computed results for repeated identical tool invocations.
MCP Concepts,1,What does MCP stand for in AI systems?,Multi-Channel Processing,Model Compression Protocol,Machine Control Program,Model Context Protocol,MCP stands for Model Context Protocol a standard for connecting AI models to external tools data sources and services.
MCP Concepts,1,What is the primary purpose of MCP?,To train language models,To compress model weights,To evaluate model performance,To provide a standardized interface between AI models and external tools,MCP defines a common protocol so that AI assistants can connect to any MCP-compatible tool or data source without custom integration code.
MCP Concepts,2,What is an MCP server?,A server that trains AI models,A server that stores model weights,A server that hosts training data,A service that exposes tools resources and prompts to AI clients via the MCP protocol,MCP servers implement the protocol to provide capabilities like file access database queries or API calls to connected AI clients.
MCP Concepts,2,What is an MCP client?,A tool that trains models,A tool that evaluates models,A tool that compresses prompts,An AI application that connects to MCP servers to access their capabilities,MCP clients like AI assistants or IDEs connect to MCP servers to discover and use the tools and resources they expose.
MCP Concepts,3,What are the three main primitives in MCP?,Inputs outputs and states,Prompts responses and errors,Models tools and agents,Tools resources and prompts,MCP defines tools as callable functions resources as data sources and prompts as reusable templates that servers can expose to clients.
MCP Concepts,3,What is a resource in MCP?,A GPU allocation,A training dataset,A model checkpoint,A data source like a file or database that an MCP server exposes to clients,MCP resources allow servers to provide read access to structured or unstructured data that the AI client can incorporate into its context.
MCP Concepts,4,What is the transport layer in MCP?,The GPU communication bus,The model's attention mechanism,The tokenization pipeline,The communication mechanism used to send messages between MCP clients and servers,MCP supports multiple transport options including stdio for local processes and HTTP with SSE for remote servers.
MCP Concepts,4,What is tool discovery in MCP?,Finding the best tool for training,Searching for hardware tools,Locating training datasets,The process by which an MCP client queries a server to learn what tools are available,Tool discovery allows AI clients to dynamically learn about available capabilities at runtime without hardcoded knowledge of specific tools.
MCP Concepts,5,What is the sampling capability in MCP?,Sampling training data,Sampling from the model's distribution,Sampling random tool calls,A feature allowing MCP servers to request LLM completions from the client,The sampling capability enables servers to leverage the connected AI model for tasks like summarization or reasoning as part of their own processing.
MCP Concepts,3,What is a prompt template in MCP?,A template for training prompts,A template for model evaluation,A template for system configuration,A reusable prompt structure that MCP servers expose for clients to use,MCP prompt templates allow servers to provide standardized prompts for common tasks that clients can invoke with specific arguments.
MCP Concepts,5,What is the security model in MCP?,Encrypting model weights,Restricting GPU access,Limiting training data access,A trust boundary where clients control what servers can access and users approve sensitive operations,MCP's security model ensures that servers cannot access resources beyond what the client grants and that users maintain oversight of sensitive actions.
